rank,word,channels,n_titles,share_mean,share_pooled,shouted,of,rate,channels_shouting,exempt
1,trump,244,67624,0.176643,0.237355,1904,67320,0.028283,80,False
2,iran,232,36009,0.080206,0.126389,594,37477,0.015850,62,False
3,war,246,19119,0.054645,0.067106,1334,18765,0.071090,98,False
4,america,231,8216,0.028905,0.028838,245,8039,0.030476,37,False
5,israel,172,6526,0.026264,0.022906,276,7269,0.037969,32,False
6,ice,216,6210,0.022879,0.021797,0,6577,0.000000,0,True
7,epstein,209,5228,0.021183,0.018350,336,5208,0.064516,44,False
8,maga,183,3747,0.017518,0.013152,0,4009,0.000000,0,True
9,world,203,9302,0.017228,0.032649,335,9316,0.035960,50,False
10,says,180,11133,0.015687,0.039076,31,11114,0.002789,11,False
11,debate,164,1908,0.015446,0.006697,0,1881,0.000000,0,True
12,ai,181,4063,0.014846,0.014261,0,4172,0.000000,0,True
13,breaking,160,5128,0.014646,0.017999,0,5003,0.000000,0,True
14,white,191,4398,0.013232,0.015437,138,4385,0.031471,37,False
15,black,149,2002,0.013128,0.007027,63,2023,0.031142,21,False
16,democrats,164,2758,0.011840,0.009680,40,2702,0.014804,23,False
17,real,208,1598,0.011794,0.005609,381,1564,0.243606,100,False
18,china,157,4553,0.011610,0.015981,230,4724,0.048688,30,False
19,people,195,2752,0.011493,0.009659,73,2724,0.026799,25,False
20,gets,185,2787,0.011384,0.009782,177,2752,0.064317,32,False
21,truth,193,1649,0.011309,0.005788,377,1629,0.231430,77,False
22,hasan,131,885,0.010503,0.003106,30,845,0.035503,11,False
23,house,177,5809,0.010287,0.020389,130,5741,0.022644,27,False
24,american,191,2733,0.010200,0.009593,70,2764,0.025326,22,False
25,court,178,3599,0.009989,0.012632,167,3568,0.046805,26,False
26,exposed,176,2100,0.009986,0.007371,1190,1968,0.604675,118,False
27,interview,164,1458,0.009954,0.005117,0,1433,0.000000,0,True
28,kirk,136,1614,0.009831,0.005665,20,1390,0.014388,10,False
29,women,153,1608,0.009703,0.005644,34,1600,0.021250,20,False
30,media,184,2422,0.009196,0.008501,37,2383,0.015527,21,False
31,right,194,1536,0.008940,0.005391,121,1799,0.067260,49,False
32,left,180,1322,0.008741,0.004640,79,1544,0.051166,28,False
33,state,191,2951,0.008686,0.010358,86,2976,0.028898,28,False
34,reacts,104,1984,0.008598,0.006964,121,2227,0.054333,29,False
35,president,159,6354,0.008592,0.022302,36,6331,0.005686,17,False
36,deal,161,4919,0.008492,0.017265,201,4832,0.041598,38,False
37,can't,195,1488,0.008478,0.005223,222,1467,0.151329,55,False
38,end,181,2111,0.008471,0.007409,229,2100,0.109048,60,False
39,charlie,129,1313,0.008428,0.004609,17,1151,0.014770,9,False
40,election,161,3003,0.008378,0.010540,147,3069,0.047898,34,False
41,john,130,1080,0.008260,0.003791,48,1072,0.044776,5,False
42,plan,172,2524,0.008219,0.008859,142,2490,0.057028,28,False
43,day,166,3744,0.008214,0.013141,179,3912,0.045757,42,False
44,hasanabi,11,716,0.008162,0.002513,2,889,0.002250,1,False
45,goes,169,2403,0.008154,0.008434,500,2336,0.214041,64,False
46,got,176,1206,0.008152,0.004233,69,1116,0.061828,27,False
47,crisis,165,2791,0.008151,0.009796,400,2759,0.144980,39,False
48,files,171,2051,0.008110,0.007199,133,2012,0.066103,36,False
49,really,179,1104,0.008044,0.003875,265,1086,0.244015,79,False
50,attack,176,4629,0.008032,0.016247,449,4590,0.097821,66,False
51,inside,160,2124,0.007999,0.007455,93,2220,0.041892,28,False
52,mamdani,144,1894,0.007840,0.006648,31,1902,0.016299,16,False
53,big,180,3485,0.007615,0.012232,774,3457,0.223894,79,False
54,secret,170,1950,0.007435,0.006844,437,1922,0.227367,63,False
55,insane,144,1192,0.007396,0.004184,597,1124,0.531139,101,False
56,venezuela,163,2674,0.007394,0.009386,105,2694,0.038976,17,False
57,want,185,1217,0.007354,0.004272,63,1172,0.053754,25,False
58,dr,137,1551,0.007319,0.005444,0,1538,0.000000,0,False
59,americans,156,1968,0.007290,0.006908,58,1954,0.029683,19,False
60,candace,92,773,0.007250,0.002713,11,699,0.015737,6,False
61,time,181,1791,0.007140,0.006286,216,1904,0.113445,55,False
62,vance,148,2769,0.007130,0.009719,57,2731,0.020871,16,False
63,man,164,1768,0.007093,0.006206,57,1808,0.031527,24,False
64,worse,162,888,0.007063,0.003117,245,862,0.284223,65,False
65,don't,178,1455,0.006972,0.005107,145,1436,0.100975,42,False
66,power,167,2250,0.006950,0.007897,143,2231,0.064097,30,False
67,tucker,127,927,0.006934,0.003254,23,885,0.025989,14,False
68,case,160,2616,0.006858,0.009182,97,2566,0.037802,23,False
69,going,178,1610,0.006801,0.005651,62,1552,0.039948,30,False
70,shooting,150,3096,0.006768,0.010867,134,3063,0.043748,25,False
71,republicans,146,2104,0.006705,0.007385,27,2097,0.012876,13,False
72,wants,182,1181,0.006652,0.004145,53,1166,0.045455,21,False
73,speech,167,2389,0.006649,0.008385,343,2367,0.144909,31,False
74,exposes,150,1616,0.006641,0.005672,679,1530,0.443791,101,False
75,fraud,150,1773,0.006634,0.006223,189,1730,0.109249,42,False
76,talk,122,1508,0.006626,0.005293,22,1498,0.014686,8,False
77,let,139,1311,0.006555,0.004602,40,1303,0.030698,18,False
78,actually,158,629,0.006542,0.002208,77,594,0.129630,46,False
79,ukraine,95,3963,0.006530,0.013910,382,4178,0.091431,11,False
80,alex,151,1245,0.006517,0.004370,12,1022,0.011742,8,False
81,supreme,146,2479,0.006489,0.008701,33,2450,0.013469,17,False
82,military,147,3779,0.006401,0.013264,110,3786,0.029054,26,False
83,calls,173,2877,0.006378,0.010098,260,2857,0.091005,53,False
84,bad,174,1158,0.006352,0.004064,304,1121,0.271186,55,False
85,graham,163,1681,0.006294,0.005900,23,1641,0.014016,10,False
86,think,155,690,0.006280,0.002422,12,684,0.017544,9,False
