scope,group,genre,target,predictor,n_creators,spearman_r,p
within_group,left,streams,gini,F1_controlled,24,0.318,0.1296
within_group,left,streams,gini,F2_controlled,24,-0.039,0.8559
within_group,left,streams,gini,F3_controlled,24,0.457,0.0246
within_group,left,streams,gini,F4_controlled,24,0.037,0.8623
within_group,left,streams,gini,F5_controlled,24,-0.237,0.264
within_group,left,streams,gini,F6_controlled,24,0.1,0.642
within_group,left,streams,gini,F7_controlled,24,0.083,0.7012
within_group,left,streams,gini,F8_controlled,24,0.173,0.4187
within_group,left,streams,gini,F9_controlled,24,-0.036,0.8686
within_group,left,streams,gini,F10_controlled,24,0.194,0.3639
within_group,left,streams,gini,F11_controlled,24,-0.013,0.9518
within_group,left,streams,gini,F12_controlled,24,0.103,0.6333
within_group,left,streams,gini,curiosity_gap,24,-0.172,0.4207
within_group,left,streams,gini,outrage,24,-0.464,0.0223
within_group,left,streams,gini,humor,24,0.099,0.6451
within_group,left,streams,gini,log_n_videos,24,0.317,0.1307
within_group,left,streams,gini,log_subscribers,24,0.407,0.0484
within_group,left,streams,top10_share,F1_controlled,24,0.329,0.1168
within_group,left,streams,top10_share,F2_controlled,24,0.049,0.8212
within_group,left,streams,top10_share,F3_controlled,24,0.39,0.0599
within_group,left,streams,top10_share,F4_controlled,24,0.102,0.6362
within_group,left,streams,top10_share,F5_controlled,24,-0.226,0.2881
within_group,left,streams,top10_share,F6_controlled,24,0.039,0.8559
within_group,left,streams,top10_share,F7_controlled,24,0.158,0.4601
within_group,left,streams,top10_share,F8_controlled,24,0.166,0.438
within_group,left,streams,top10_share,F9_controlled,24,-0.021,0.9229
within_group,left,streams,top10_share,F10_controlled,24,0.241,0.2569
within_group,left,streams,top10_share,F11_controlled,24,0.004,0.9839
within_group,left,streams,top10_share,F12_controlled,24,0.023,0.9165
within_group,left,streams,top10_share,curiosity_gap,24,-0.178,0.4065
within_group,left,streams,top10_share,outrage,24,-0.456,0.0252
within_group,left,streams,top10_share,humor,24,0.099,0.6451
within_group,left,streams,top10_share,log_n_videos,24,0.305,0.147
within_group,left,streams,top10_share,log_subscribers,24,0.399,0.0533
within_group,left,videos,gini,F1_controlled,84,0.158,0.15
within_group,left,videos,gini,F2_controlled,84,0.12,0.277
within_group,left,videos,gini,F3_controlled,84,0.012,0.9172
within_group,left,videos,gini,F4_controlled,84,-0.018,0.8731
within_group,left,videos,gini,F5_controlled,84,0.335,0.0018
within_group,left,videos,gini,F6_controlled,84,0.064,0.5651
within_group,left,videos,gini,F7_controlled,84,-0.053,0.6333
within_group,left,videos,gini,F8_controlled,84,0.191,0.0821
within_group,left,videos,gini,F9_controlled,84,-0.15,0.1731
within_group,left,videos,gini,F10_controlled,84,0.128,0.247
within_group,left,videos,gini,F11_controlled,84,0.088,0.4276
within_group,left,videos,gini,F12_controlled,84,0.226,0.0383
